"LocationID","Topic","Ages_35_to_64_years","Ages_65_years_and_older","Data_Value_Unit","Question_1","Yes_1","No_1","Question_2","Yes_2","No_2","Question_3","Yes_3","No_3","Question_4","Yes_4","No_4"
"Aiken   SC  ::  Augusta-Richmond County, GA-SC Metropolitan Statistical Area","All heart disease",124.2,1040,"per 100,000","During the past month, did you participate in any physical activities?",70.94,29.06,"Adults who have had their blood cholesterol checked and have been told it was high",33.17,66.83,"Adults who have been told they have high blood pressure",40.75,59.25,"Adults who are current smokers",17.57,82.43
"Amelia   VA  ::  Richmond, VA Metropolitan Statistical Area","All heart disease",109.7,1122.4,"per 100,000","During the past month, did you participate in any physical activities?",77.08,22.92,"Adults who have had their blood cholesterol checked and have been told it was high",33.12,66.88,"Adults who have been told they have high blood pressure",36.58,63.42,"Adults who are current smokers",14.26,85.74
"Anchorage   AK  ::  Anchorage, AK Metropolitan Statistical Area","All heart disease",97.3,746.8,"per 100,000","During the past month, did you participate in any physical activities?",78.46,21.54,"Adults who have had their blood cholesterol checked and have been told it was high",27.74,72.26,"Adults who have been told they have high blood pressure",32.15,67.85,"Adults who are current smokers",14.88,85.12
"Barry   MI  ::  Grand Rapids-Wyoming, MI Metropolitan Statistical Area","All heart disease",78,1172.3,"per 100,000","During the past month, did you participate in any physical activities?",80.96,19.04,"Adults who have had their blood cholesterol checked and have been told it was high",28.51,71.49,"Adults who have been told they have high blood pressure",31.11,68.89,"Adults who are current smokers",16.45,83.55
"Berkeley   SC  ::  Charleston-North Charleston, SC Metropolitan Statistical Area","All heart disease",83.4,835.6,"per 100,000","During the past month, did you participate in any physical activities?",76.23,23.77,"Adults who have had their blood cholesterol checked and have been told it was high",36.71,63.29,"Adults who have been told they have high blood pressure",33.6,66.4,"Adults who are current smokers",16.02,83.98
"Black Hawk   IA  ::  Waterloo-Cedar Falls, IA Metropolitan Statistical Area","All heart disease",97.8,1095.9,"per 100,000","During the past month, did you participate in any physical activities?",71.81,28.19,"Adults who have had their blood cholesterol checked and have been told it was high",32.58,67.42,"Adults who have been told they have high blood pressure",32.47,67.53,"Adults who are current smokers",18.23,81.77
"Bremer   IA  ::  Waterloo-Cedar Falls, IA Metropolitan Statistical Area","All heart disease",83.8,1107.1,"per 100,000","During the past month, did you participate in any physical activities?",71.81,28.19,"Adults who have had their blood cholesterol checked and have been told it was high",32.58,67.42,"Adults who have been told they have high blood pressure",32.47,67.53,"Adults who are current smokers",18.23,81.77
"Brown   SD  ::  Aberdeen, SD Micropolitan Statistical Area","All heart disease",74.1,962.4,"per 100,000","During the past month, did you participate in any physical activities?",68.88,31.12,"Adults who have had their blood cholesterol checked and have been told it was high",32.18,67.82,"Adults who have been told they have high blood pressure",32.1,67.9,"Adults who are current smokers",17.41,82.59
"Burke   GA  ::  Augusta-Richmond County, GA-SC Metropolitan Statistical Area","All heart disease",174.1,1220,"per 100,000","During the past month, did you participate in any physical activities?",70.94,29.06,"Adults who have had their blood cholesterol checked and have been told it was high",33.17,66.83,"Adults who have been told they have high blood pressure",40.75,59.25,"Adults who are current smokers",17.57,82.43
"Burleigh   ND  ::  Bismarck, ND Metropolitan Statistical Area","All heart disease",62.1,820.2,"per 100,000","During the past month, did you participate in any physical activities?",73.46,26.54,"Adults who have had their blood cholesterol checked and have been told it was high",32.43,67.57,"Adults who have been told they have high blood pressure",29.16,70.84,"Adults who are current smokers",15.17,84.83
